Time,aileron,elevator,rudder,flaps,throttle0,throttle1,vsi-fpm,alt-ft,ai-pitch,ai-roll,ai-offset,hi-heading,roll,pitch,heading,airspeed,speed-north,speed-east,speed-down,uBody-fps,wBody-fps,north-accel-fps_sec,east-accel-fps_sec,down-accel-fps_sec,x-accel-fps_sec,y-accel-fps_sec,z-accel-fps_sec,latitude,longitude,altitude,crashed
87.0333,0.2,-0.15,0,0,1,0,12.05908201,300.9774713,10.06260578,-15.65976549,,273.2243702,-15.65167945,10.0832109,260.2726672,69.9489031,-6.848668696,-121.6099423,-11.44817526,121.1538369,13.27094516,0,0,0,6.841058405,-1.220222821,-41.92234256,63.99577297,-22.6013701,323.6089379,0
88.0167,0.2,-0.15,0,0,1,0,1161.676324,333.0045846,17.2587469,-12.92167703,,264.6754089,-12.91560544,17.2811211,251.7255971,67.93976344,-23.48476381,-113.061619,-24.78537205,116.9074921,13.08953887,0,0,0,7.040326461,-1.107706391,-41.09553621,63.99570382,-22.60255293,352.7319107,0
89.0167,0.25,-0.15,0,0,1,0,1432.589954,359.0058534,21.87060037,-10.92710248,,259.1217238,-10.91861269,21.89252605,246.1695912,64.94970768,-30.14315761,-103.6806327,-31.74479788,111.1389546,12.97140285,0,0,0,7.13495362,-1.378180077,-39.11508401,63.99562969,-22.60322912,381.0676393,0
90.0083,0.25,-0.15,0,0,1,0,1706.681535,390.594408,25.95936348,-10.08058014,,254.1837353,-10.0789557,25.97611843,241.2408167,60.73932841,-33.76655801,-92.63215894,-35.9337347,103.3459522,12.83909837,0,0,0,7.217642421,-1.414477503,-35.78311775,63.99554238,-22.60383588,414.7921892,0
91.0083,0.25,-0.15,0,0,1,0,1899.241158,426.7905949,28.55707475,-9.958710113,,250.2786874,-9.959525265,28.56497911,237.3384471,55.6971732,-35.48365839,-81.45609995,-36.15941017,94.33683462,12.47127567,0,0,0,7.276065244,-1.149094252,-31.4215051,63.9954464,-22.60438209,451.377201,0
92.1917,0.25,-0.15,0,0,1,0,1959.728085,452.5015545,29.14700943,-10.38377707,,247.3461711,-10.38888913,29.14675534,234.4032238,51.90471141,-36.14808179,-74.11787971,-33.88319371,87.5157473,12.32380696,0,0,0,7.316836656,-1.0215004,-28.52866283,63.99537442,-22.60473711,477.1008984,0
93,0.25,-0.15,0,0,1,0,1916.593264,490.9715255,26.87652335,-12.87145232,,241.5249284,-12.8849229,26.85838657,228.5772094,46.00154868,-37.7985522,-63.69966797,-25.96656571,76.65400759,12.54544466,0,0,0,7.432491375,-0.869905427,-24.07427896,63.99524744,-22.60527531,515.1552229,0
94.0083,0.25,-0.15,0,0,1,0,1631.385995,513.1567316,21.403489,-16.03923136,,236.299416,-16.05587171,21.36897906,223.3481519,42.88015964,-40.90697795,-57.56570773,-16.75514431,70.60577279,13.06986849,0,0,0,7.516369327,-0.740891445,-21.9550102,63.99514016,-22.60565224,536.6102457,0
95.0083,0.25,-0.15,0,0,1,0,1117.786036,525.6200874,13.12727658,-19.39285285,,230.3854215,-19.40813591,13.08242269,217.42845,42.09902184,-46.47175884,-52.74768198,-6.176012646,68.57036622,13.58254846,0,0,0,7.490607445,-0.644038002,-21.46497169,63.99502118,-22.60599553,548.1000467,0
96.0167,0.25,-0.15,0,0,1,0,-98.14419899,527.3270358,3.644883107,-21.99494257,,223.3904667,-22.00423095,3.600011569,210.4263259,44.09989469,-54.96383628,-48.2077662,5.007010774,71.35204348,13.95908869,0,0,0,7.274374133,-0.665361571,-22.61939614,63.99488193,-22.60631302,548.6189692,0
97.0167,0.3,-0.15,0,0,1,0,-607.6985303,518.1448553,-4.510414657,-23.04293946,,215.4060125,-23.04140335,-4.543026631,202.4360438,48.53332187,-66.20423857,-42.58360187,15.34860307,78.41750217,13.95094535,0,0,0,7.011232813,-0.708685746,-25.9353036,63.99471689,-22.60659707,538.1728346,0
98.0167,0.3,-0.2,0,0,1,0,-1006.047991,499.4627999,-8.194727876,-20.84457066,,206.3253555,-20.83055779,-8.194571161,193.3492651,54.43261064,-79.57690558,-34.60021071,22.67354359,87.77517539,15.03417396,0,0,0,7.218244296,-1.296636784,-32.39258481,63.9945181,-22.60683933,518.5410429,0
